Vertice, In, Out
(1,0,2)
(2,70,31)
(3,1,1)
(4,0,4)
(5,3,7)
(6,2,2)
(7,1,6)
(8,0,7)
(9,1,1)
(10,2,3)
(11,1,1)
(12,1,5)
(13,3,3)
(14,2,10)
(15,1,1)
(16,4,6)
(17,1,36)
(18,2,2)
(19,1,17)
(20,2,6)
(21,2,7)
(22,3,6)
(23,3,2)
(24,0,10)
(25,10,29)
(26,0,16)
(27,6,2)
(28,15,10)
(29,7,2)
(30,2,3)
(31,1,1)
(32,1,1)
(33,4,3)
(34,2,2)
(35,6,6)
(36,2,3)
(37,1,11)
(38,3,2)
(39,2,3)
(40,2,3)
(41,5,4)
(42,1,1)
(43,6,12)
(44,1,3)
(45,24,10)
(46,2,2)
(47,8,2)
(48,2,4)
(49,7,4)
(50,4,1)
(51,2,2)
(52,4,8)
(53,2,36)
(54,5,5)
(55,2,1)
(56,3,5)
(57,1,10)
(58,2,4)
(59,3,6)
(60,4,17)
(61,5,2)
(62,2,3)
(63,0,1)
(64,3,3)
(65,5,8)
(66,2,10)
(67,2,5)
(68,7,46)
(69,2,2)
(70,1,19)
(71,1,1)
(72,3,3)
(73,14,35)
(74,4,2)
(75,15,10)
(76,4,1)
(77,5,8)
(78,1,6)
(79,1,5)
(80,7,7)
(81,1,1)
(82,0,7)
(83,4,6)
(84,2,5)
(85,1,3)
(86,1,3)
(87,4,7)
(88,1,16)
(89,3,4)
(90,21,10)
(91,141,25)
(92,6,2)
(93,3,4)
(94,2,1)
(95,3,5)
(96,0,2)
(97,1,5)
(98,1,1)
(99,2,5)
(100,2,2)
(101,10,24)
(102,15,36)
(103,1,2)
(104,6,14)
(105,3,3)
(106,0,26)
(107,2,3)
(108,2,6)
(109,1,1)
(110,1,2)
(111,1,1)
(112,3,5)
(113,1,5)
(114,4,15)
(115,1,19)
(116,2,4)
(117,1,2)
(118,2,48)
(119,1,2)
(120,5,6)
(121,2,9)
(122,6,2)
(123,10,4)
(124,4,6)
(125,1,1)
(126,2,5)
(127,3,3)
(128,1,5)
(129,4,1)
(130,10,10)
(131,0,7)
(132,1,1)
(133,1,1)
(134,2,3)
(135,8,9)
(136,2,2)
(137,3,5)
(138,8,9)
(139,0,2)
(140,116,2)
(141,2,2)
(142,3,13)
(143,2,2)
(144,0,86)
(145,6,18)
(146,3,9)
(147,3,6)
(148,2,2)
(149,13,12)
(150,2,4)
(151,4,7)
(152,1,8)
(153,6,2)
(154,2,2)
(155,0,6)
(156,2,5)
(157,2,3)
(158,1,9)
(159,1,18)
(160,114,19)
(161,2,5)
(162,2,2)
(163,2,2)
(164,0,80)
(165,28,31)
(166,1,36)
(167,23,20)
(168,6,35)
(169,1,11)
(170,2,15)
(171,5,3)
(172,5,23)
(173,4,4)
(174,23,20)
(175,18,18)
(176,2,1)
(177,5,7)
(178,3,1)
(179,1,5)
(180,15,10)
(181,1,11)
(182,4,4)
(183,2,2)
(184,4,5)
(185,2,1)
(186,2,5)
(187,1,10)
(188,2,1)
(189,2,2)
(190,1,5)
(191,2,3)
(192,3,2)
(193,2,2)
(194,2,10)
(195,0,8)
(196,3,5)
(197,289,1)
(198,1,1)
(199,2,2)
(200,1,1)
(201,7,14)
(202,1,9)
(203,1,5)
(204,4,6)
(205,11,32)
(206,2,4)
(207,1,1)
(208,2,3)
(209,1,1)
(210,3,5)
(211,2,2)
(212,2,3)
(213,3,3)
(214,16,1)
(215,5,8)
(216,2,6)
(217,27,27)
(218,1,1)
(219,2,5)
(220,1,19)
(221,7,29)
(222,3,7)
(223,1,5)
(224,16,22)
(225,6,2)
(226,1,1)
(227,1,3)
(228,2,3)
(229,0,1)
(230,1,5)
(231,1,10)
(232,1,36)
(233,14,16)
(234,7,12)
(235,7,14)
(236,2,5)
(237,2,9)
(238,1,16)
(239,4,4)
(240,5,6)
(241,2,5)
(242,9,10)
(243,6,5)
(244,1,8)
(245,9,19)
(246,2,5)
(247,1,2)
(248,14,34)
(249,3,6)
(250,3,6)
(251,2,4)
(252,4,7)
(253,1,5)
(254,1,9)
(255,1,6)
(256,11,95)
(257,11,51)
(258,2,5)
(259,2,10)
(260,1,3)
(261,0,1)
(262,2,5)
(263,5,13)
(264,1,18)
(265,17,20)
(266,0,2)
(267,3,2)
(268,2,6)
(269,2,2)
(270,3,6)
(271,1,5)
(272,2,2)
(273,1,1)
(274,0,1)
(275,2,2)
(276,26,17)
(277,3,6)
(278,1,6)
(279,5,33)
(280,1,0)
(281,2,2)
(282,6,2)
(283,11,17)
(284,5,16)
(285,2,1)
(286,33,2)
(287,3,7)
(288,0,8)
(289,4,8)
(290,1,4)
(291,2,5)
(292,0,1)
(293,2,2)
(294,2,14)
(295,6,35)
(296,8,3)
(297,2,3)
(298,1,4)
(299,1,1)
(300,3,16)
(301,2,3)
(302,2,10)
(303,9,15)
(304,13,14)
(305,9,9)
(306,2,3)
(307,1,13)
(308,13,4)
(309,3,4)
(310,2,3)
(311,6,22)
(312,6,2)
(313,3,2)
(314,2,3)
(315,2,3)
(316,1,2)
(317,17,12)
(318,60,8)
(319,2,3)
(320,2,3)
(321,2,44)
(322,3,5)
(323,1,7)
(324,6,7)
(325,23,20)
(326,1,10)
(327,1,3)
(328,0,1)
(329,2,4)
(330,9,2)
(331,2,2)
(332,26,46)
(333,12,12)
(334,1,5)
(335,2,2)
(336,2,5)
(337,2,3)
(338,3,10)
(339,59,60)
(340,3,3)
(341,2,2)
(342,1,1)
(343,3,2)
(344,1,4)
(345,2,5)
(346,3,7)
(347,2,5)
(348,2,4)
(349,0,53)
(350,5,2)
(351,2,2)
(352,2,6)
(353,3,16)
(354,1,1)
(355,2,2)
(356,4,4)
(357,1,1)
(358,3,4)
(359,2,5)
(360,1,5)
(361,1,36)
(362,0,16)
(363,3,6)
(364,0,1)
(365,1,8)
(366,2,2)
(367,82,31)
(368,1,36)
(369,4,6)
(370,1,1)
(371,2,3)
(372,4,4)
(373,2,4)
(374,261,6)
(375,2,11)
(376,2,2)
(377,2,4)
(378,2,5)
(379,4,5)
(380,6,5)
(381,1,17)
(382,2,5)
(383,0,14)
(384,2,6)
(385,11,2)
(386,2,5)
(387,4,6)
(388,8,29)
(389,4,5)
(390,4,5)
(391,24,2)
(392,1,7)
(393,2,5)
(394,4,4)
(395,2,4)
(396,2,1)
(397,3,5)
(398,1,1)
(399,0,5)
(400,3,4)
(401,3,2)
(402,15,10)
(403,1,10)
(404,4,3)
(405,4,6)
(406,2,2)
(407,0,8)
(408,13,6)
(409,1,1)
(410,2,6)
(411,6,4)
(412,2,5)
(413,3,15)
(414,3,6)
(415,5,6)
(416,1,1)
(417,4,10)
(418,7,26)
(419,3,5)
(420,2,14)
(421,4,3)
(422,15,10)
(423,5,4)
(424,8,24)
(425,3,2)
(426,1,2)
(427,4,4)
(428,23,13)
(429,3,4)
(430,0,16)
(431,4,6)
(432,1,3)
(433,8,4)
(434,6,8)
(435,10,3)
(436,2,1)
(437,2,5)
(438,3,5)
(439,2,21)
(440,19,4)
(441,2,57)
(442,2,10)
(443,1,6)
(444,2,5)
(445,2,16)
(446,3,3)
(447,2,10)
(448,2,3)
(449,3,7)
(450,7,12)
(451,2,3)
(452,4,6)
(453,0,1)
(454,7,2)
(455,2,4)
(456,11,20)
(457,4,3)
(458,2,5)
(459,4,6)
(460,5,22)
(461,0,1)
(462,2,6)
(463,3,4)
(464,1,1)
(465,3,5)
(466,4,6)
(467,3,2)
(468,16,24)
(469,3,4)
(470,2,1)
(471,1,5)
(472,0,18)
(473,6,7)
(474,3,4)
(475,2,5)
(476,2,2)
(477,3,4)
(478,22,4)
(479,2,4)
(480,2,6)
(481,3,2)
(482,1,5)
(483,46,10)
